test_who,song_id,test_order,f1_score,feat,mode
2,1,3,0.9695,acc + near,all-to-one
3,1,1,0.9368,acc + near,one-to-one
3,1,2,0.9782,acc + near,one-to-one
3,1,3,0.9752,acc + near,one-to-one
3,1,1,0.9666,acc + near,rest-to-one
3,1,2,0.9778,acc + near,rest-to-one
3,1,3,0.9753,acc + near,rest-to-one
3,1,1,0.9668,acc + near,all-to-one
3,1,2,0.975,acc + near,all-to-one
3,1,3,0.9835,acc + near,all-to-one
4,1,1,0.9478,acc + near,one-to-one
4,1,2,0.9373,acc + near,one-to-one
4,1,3,0.9837,acc + near,one-to-one
4,1,1,0.8955,acc + near,rest-to-one
4,1,2,0.9095,acc + near,rest-to-one
4,1,3,0.926,acc + near,rest-to-one
4,1,1,0.9219,acc + near,all-to-one
4,1,2,0.9422,acc + near,all-to-one
4,1,3,0.9645,acc + near,all-to-one
5,1,1,0.9082,acc + near,one-to-one
5,1,2,0.95,acc + near,one-to-one
5,1,3,0.9457,acc + near,one-to-one
5,1,1,0.8952,acc + near,rest-to-one
5,1,2,0.9724,acc + near,rest-to-one
5,1,3,0.9534,acc + near,rest-to-one
5,1,1,0.921,acc + near,all-to-one
5,1,2,0.989,acc + near,all-to-one
5,1,3,0.9725,acc + near,all-to-one
6,1,1,0.9619,acc + near,one-to-one
6,1,2,0.9474,acc + near,one-to-one
6,1,3,0.9778,acc + near,one-to-one
6,1,1,0.9447,acc + near,rest-to-one
6,1,2,0.9017,acc + near,rest-to-one
6,1,3,0.938,acc + near,rest-to-one
6,1,1,0.967,acc + near,all-to-one
6,1,2,0.9502,acc + near,all-to-one
6,1,3,0.9695,acc + near,all-to-one
7,1,1,0.9587,acc + near,one-to-one
7,1,2,0.9721,acc + near,one-to-one
7,1,3,0.9336,acc + near,one-to-one
7,1,1,0.9667,acc + near,rest-to-one
7,1,2,0.9861,acc + near,rest-to-one
7,1,3,0.9776,acc + near,rest-to-one
7,1,1,0.9723,acc + near,all-to-one
7,1,2,0.9889,acc + near,all-to-one
7,1,3,0.9832,acc + near,all-to-one
8,1,1,0.9147,acc + near,one-to-one
8,1,2,0.9305,acc + near,one-to-one
8,1,3,0.9671,acc + near,one-to-one
8,1,1,0.9317,acc + near,rest-to-one
8,1,2,0.9427,acc + near,rest-to-one
8,1,3,0.946,acc + near,rest-to-one
8,1,1,0.9343,acc + near,all-to-one
8,1,2,0.9398,acc + near,all-to-one
8,1,3,0.9539,acc + near,all-to-one
1,1,1,0.8839,acc,one-to-one
1,1,2,0.896,acc,one-to-one
1,1,3,0.9175,acc,one-to-one
1,1,1,0.8368,acc,rest-to-one
1,1,2,0.8285,acc,rest-to-one
1,1,3,0.8377,acc,rest-to-one
1,1,1,0.872,acc,all-to-one
1,1,2,0.8785,acc,all-to-one
1,1,3,0.8893,acc,all-to-one
2,1,1,0.9397,acc,one-to-one
2,1,2,0.7446,acc,one-to-one
2,1,3,0.8568,acc,one-to-one
2,1,1,0.8488,acc,rest-to-one
2,1,2,0.7057,acc,rest-to-one
2,1,3,0.8911,acc,rest-to-one
2,1,1,0.9233,acc,all-to-one
2,1,2,0.7311,acc,all-to-one
2,1,3,0.9,acc,all-to-one
3,1,1,0.8822,acc,one-to-one
3,1,2,0.9286,acc,one-to-one
3,1,3,0.9036,acc,one-to-one
3,1,1,0.7912,acc,rest-to-one
3,1,2,0.8366,acc,rest-to-one
3,1,3,0.7882,acc,rest-to-one
3,1,1,0.8429,acc,all-to-one
3,1,2,0.8796,acc,all-to-one
3,1,3,0.8616,acc,all-to-one
4,1,1,0.8886,acc,one-to-one
4,1,2,0.9035,acc,one-to-one
4,1,3,0.9212,acc,one-to-one
4,1,1,0.5847,acc,rest-to-one
4,1,2,0.6138,acc,rest-to-one
4,1,3,0.6155,acc,rest-to-one
4,1,1,0.7509,acc,all-to-one
4,1,2,0.8004,acc,all-to-one
4,1,3,0.7468,acc,all-to-one
5,1,1,0.7994,acc,one-to-one
5,1,2,0.9185,acc,one-to-one
5,1,3,0.8852,acc,one-to-one
5,1,1,0.7472,acc,rest-to-one
5,1,2,0.854,acc,rest-to-one
5,1,3,0.8175,acc,rest-to-one
5,1,1,0.7744,acc,all-to-one
5,1,2,0.8804,acc,all-to-one
5,1,3,0.8881,acc,all-to-one
6,1,1,0.8997,acc,one-to-one
6,1,2,0.8802,acc,one-to-one
6,1,3,0.9237,acc,one-to-one
6,1,1,0.8104,acc,rest-to-one
