train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,4,3,271990,3,3,112370,0.0904
1,1,243400,4,3,271990,4,1,222600,0.3075
1,1,243400,4,3,271990,4,2,267800,0.1893
1,1,243400,4,3,271990,4,3,271990,0.1988
1,1,243400,4,3,271990,5,1,130490,0.2922
1,1,243400,4,3,271990,5,2,188720,0.3220
1,1,243400,4,3,271990,5,3,185380,0.2112
1,1,243400,4,3,271990,6,1,241880,0.1870
1,1,243400,4,3,271990,6,2,164810,0.1575
1,1,243400,4,3,271990,6,3,266820,0.1723
1,1,243400,4,3,271990,7,1,269500,0.1812
1,1,243400,4,3,271990,7,2,278840,0.1452
1,1,243400,4,3,271990,7,3,274760,0.1190
1,1,243400,4,3,271990,8,1,170430,0.1900
1,1,243400,4,3,271990,8,2,89370,0.2251
1,1,243400,4,3,271990,8,3,142120,0.1849
1,1,243400,5,1,130490,1,1,243400,0.0000
1,1,243400,5,1,130490,1,2,223010,0.0591
1,1,243400,5,1,130490,1,3,181870,0.0636
1,1,243400,5,1,130490,2,1,210550,0.1407
1,1,243400,5,1,130490,2,2,251930,0.1397
1,1,243400,5,1,130490,2,3,223700,0.1265
1,1,243400,5,1,130490,3,1,110320,0.0987
1,1,243400,5,1,130490,3,2,122580,0.0581
1,1,243400,5,1,130490,3,3,112370,0.0865
1,1,243400,5,1,130490,4,1,222600,0.3172
1,1,243400,5,1,130490,4,2,267800,0.2163
1,1,243400,5,1,130490,4,3,271990,0.2186
1,1,243400,5,1,130490,5,1,130490,0.2526
1,1,243400,5,1,130490,5,2,188720,0.3248
1,1,243400,5,1,130490,5,3,185380,0.2203
1,1,243400,5,1,130490,6,1,241880,0.1721
1,1,243400,5,1,130490,6,2,164810,0.1626
1,1,243400,5,1,130490,6,3,266820,0.1736
1,1,243400,5,1,130490,7,1,269500,0.1626
1,1,243400,5,1,130490,7,2,278840,0.1834
1,1,243400,5,1,130490,7,3,274760,0.1137
1,1,243400,5,1,130490,8,1,170430,0.1679
1,1,243400,5,1,130490,8,2,89370,0.2945
1,1,243400,5,1,130490,8,3,142120,0.2305
1,1,243400,5,2,188720,1,1,243400,0.0000
1,1,243400,5,2,188720,1,2,223010,0.0667
1,1,243400,5,2,188720,1,3,181870,0.0719
1,1,243400,5,2,188720,2,1,210550,0.1380
1,1,243400,5,2,188720,2,2,251930,0.1374
1,1,243400,5,2,188720,2,3,223700,0.1462
1,1,243400,5,2,188720,3,1,110320,0.0973
1,1,243400,5,2,188720,3,2,122580,0.0523
1,1,243400,5,2,188720,3,3,112370,0.0832
1,1,243400,5,2,188720,4,1,222600,0.3211
1,1,243400,5,2,188720,4,2,267800,0.2233
1,1,243400,5,2,188720,4,3,271990,0.2081
1,1,243400,5,2,188720,5,1,130490,0.2831
1,1,243400,5,2,188720,5,2,188720,0.3168
1,1,243400,5,2,188720,5,3,185380,0.2430
1,1,243400,5,2,188720,6,1,241880,0.1753
1,1,243400,5,2,188720,6,2,164810,0.1536
1,1,243400,5,2,188720,6,3,266820,0.1573
1,1,243400,5,2,188720,7,1,269500,0.1651
1,1,243400,5,2,188720,7,2,278840,0.1613
1,1,243400,5,2,188720,7,3,274760,0.1149
