train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,3,3,112370,6,3,266820,0.1977
1,1,243400,3,3,112370,7,1,269500,0.1848
1,1,243400,3,3,112370,7,2,278840,0.1869
1,1,243400,3,3,112370,7,3,274760,0.2014
1,1,243400,3,3,112370,8,1,170430,0.1553
1,1,243400,3,3,112370,8,2,89370,0.2543
1,1,243400,3,3,112370,8,3,142120,0.1961
1,1,243400,4,1,222600,1,1,243400,0.0000
1,1,243400,4,1,222600,1,2,223010,0.0696
1,1,243400,4,1,222600,1,3,181870,0.0780
1,1,243400,4,1,222600,2,1,210550,0.1340
1,1,243400,4,1,222600,2,2,251930,0.1492
1,1,243400,4,1,222600,2,3,223700,0.1672
1,1,243400,4,1,222600,3,1,110320,0.0940
1,1,243400,4,1,222600,3,2,122580,0.0663
1,1,243400,4,1,222600,3,3,112370,0.0990
1,1,243400,4,1,222600,4,1,222600,0.3181
1,1,243400,4,1,222600,4,2,267800,0.2454
1,1,243400,4,1,222600,4,3,271990,0.2312
1,1,243400,4,1,222600,5,1,130490,0.2901
1,1,243400,4,1,222600,5,2,188720,0.3112
1,1,243400,4,1,222600,5,3,185380,0.2623
1,1,243400,4,1,222600,6,1,241880,0.1530
1,1,243400,4,1,222600,6,2,164810,0.2218
1,1,243400,4,1,222600,6,3,266820,0.1811
1,1,243400,4,1,222600,7,1,269500,0.1784
1,1,243400,4,1,222600,7,2,278840,0.1634
1,1,243400,4,1,222600,7,3,274760,0.1987
1,1,243400,4,1,222600,8,1,170430,0.1592
1,1,243400,4,1,222600,8,2,89370,0.2382
1,1,243400,4,1,222600,8,3,142120,0.1547
1,1,243400,4,2,267800,1,1,243400,0.0000
1,1,243400,4,2,267800,1,2,223010,0.0768
1,1,243400,4,2,267800,1,3,181870,0.0741
1,1,243400,4,2,267800,2,1,210550,0.1327
1,1,243400,4,2,267800,2,2,251930,0.1504
1,1,243400,4,2,267800,2,3,223700,0.1631
1,1,243400,4,2,267800,3,1,110320,0.0776
1,1,243400,4,2,267800,3,2,122580,0.0788
1,1,243400,4,2,267800,3,3,112370,0.0890
1,1,243400,4,2,267800,4,1,222600,0.3292
1,1,243400,4,2,267800,4,2,267800,0.2297
1,1,243400,4,2,267800,4,3,271990,0.2102
1,1,243400,4,2,267800,5,1,130490,0.2965
1,1,243400,4,2,267800,5,2,188720,0.3112
1,1,243400,4,2,267800,5,3,185380,0.2726
1,1,243400,4,2,267800,6,1,241880,0.1472
1,1,243400,4,2,267800,6,2,164810,0.1937
1,1,243400,4,2,267800,6,3,266820,0.1818
1,1,243400,4,2,267800,7,1,269500,0.1696
1,1,243400,4,2,267800,7,2,278840,0.1687
1,1,243400,4,2,267800,7,3,274760,0.1882
1,1,243400,4,2,267800,8,1,170430,0.1553
1,1,243400,4,2,267800,8,2,89370,0.2325
1,1,243400,4,2,267800,8,3,142120,0.1693
1,1,243400,4,3,271990,1,1,243400,0.0000
1,1,243400,4,3,271990,1,2,223010,0.0732
1,1,243400,4,3,271990,1,3,181870,0.0777
1,1,243400,4,3,271990,2,1,210550,0.1352
1,1,243400,4,3,271990,2,2,251930,0.1504
1,1,243400,4,3,271990,2,3,223700,0.1631
1,1,243400,4,3,271990,3,1,110320,0.0776
1,1,243400,4,3,271990,3,2,122580,0.0788
1,1,243400,4,3,271990,3,3,112370,0.0877
1,1,243400,4,3,271990,4,1,222600,0.3331
1,1,243400,4,3,271990,4,2,267800,0.2363
1,1,243400,4,3,271990,4,3,271990,0.2077
1,1,243400,4,3,271990,5,1,130490,0.2965
1,1,243400,4,3,271990,5,2,188720,0.3112
1,1,243400,4,3,271990,5,3,185380,0.2674
1,1,243400,4,3,271990,6,1,241880,0.1485
1,1,243400,4,3,271990,6,2,164810,0.1923
1,1,243400,4,3,271990,6,3,266820,0.1843
