train_who,train_porder,train_score,valid_who,valid_porder,valid_score,test_who,test_porder,test_score,multi_error
1,1,243400,3,2,122580,7,1,269500,0.1950
1,1,243400,3,2,122580,7,2,278840,0.1177
1,1,243400,3,2,122580,7,3,274760,0.1277
1,1,243400,3,2,122580,8,1,170430,0.1890
1,1,243400,3,2,122580,8,2,89370,0.1731
1,1,243400,3,2,122580,8,3,142120,0.1657
1,1,243400,3,3,112370,1,1,243400,0.0072
1,1,243400,3,3,112370,1,2,223010,0.0912
1,1,243400,3,3,112370,1,3,181870,0.0598
1,1,243400,3,3,112370,2,1,210550,0.1180
1,1,243400,3,3,112370,2,2,251930,0.1344
1,1,243400,3,3,112370,2,3,223700,0.1442
1,1,243400,3,3,112370,3,1,110320,0.1466
1,1,243400,3,3,112370,3,2,122580,0.0731
1,1,243400,3,3,112370,3,3,112370,0.0662
1,1,243400,3,3,112370,4,1,222600,0.3086
1,1,243400,3,3,112370,4,2,267800,0.2622
1,1,243400,3,3,112370,4,3,271990,0.2502
1,1,243400,3,3,112370,5,1,130490,0.1900
1,1,243400,3,3,112370,5,2,188720,0.2761
1,1,243400,3,3,112370,5,3,185380,0.2112
1,1,243400,3,3,112370,6,1,241880,0.2774
1,1,243400,3,3,112370,6,2,164810,0.1584
1,1,243400,3,3,112370,6,3,266820,0.1046
1,1,243400,3,3,112370,7,1,269500,0.1124
1,1,243400,3,3,112370,7,2,278840,0.1025
1,1,243400,3,3,112370,7,3,274760,0.0768
1,1,243400,3,3,112370,8,1,170430,0.1625
1,1,243400,3,3,112370,8,2,89370,0.1695
1,1,243400,3,3,112370,8,3,142120,0.1313
1,1,243400,4,1,222600,1,1,243400,0.0643
1,1,243400,4,1,222600,1,2,223010,0.0792
1,1,243400,4,1,222600,1,3,181870,0.0929
1,1,243400,4,1,222600,2,1,210550,0.1769
1,1,243400,4,1,222600,2,2,251930,0.1949
1,1,243400,4,1,222600,2,3,223700,0.2078
1,1,243400,4,1,222600,3,1,110320,0.1343
1,1,243400,4,1,222600,3,2,122580,0.1024
1,1,243400,4,1,222600,3,3,112370,0.0832
1,1,243400,4,1,222600,4,1,222600,0.2938
